,type,path_name,path,data,response,response_data,status_code,validity,time
0,get,/potato,/potato?skip=0&limit=0,{},<Response [422]>,"{'detail': {'detail': [{'loc': ['query', 'limit'], 'msg': 'limit query parameter must be greater then zero', 'type': 'type_error.integer'}]}}",422,True,0.001728
1,post,/potato,/potato,"{'thickness': 0.0, 'mass': 0.0, 'color': '', 'type': ''}",<Response [422]>,"{'detail': [{'loc': ['body', 0], 'msg': 'Expecting value: line 1 column 1 (char 0)', 'type': 'value_error.jsondecode', 'ctx': {'msg': 'Expecting value', 'doc': 'thickness=0.0&mass=0.0&color=&type=', 'pos': 0, 'lineno': 1, 'colno': 1}}]}",422,True,0.001237
2,get,/potato,/potato?skip=0&limit=0,{},<Response [422]>,"{'detail': {'detail': [{'loc': ['query', 'limit'], 'msg': 'limit query parameter must be greater then zero', 'type': 'type_error.integer'}]}}",422,True,0.001027
3,delete,/potato,/potato,{},<Response [200]>,[],200,True,0.001244
4,get,/potato,/potato?skip=0&limit=0,{},<Response [422]>,"{'detail': {'detail': [{'loc': ['query', 'limit'], 'msg': 'limit query parameter must be greater then zero', 'type': 'type_error.integer'}]}}",422,True,0.0011
5,get,/potato,/potato?skip=0&limit=0,{},<Response [422]>,"{'detail': {'detail': [{'loc': ['query', 'limit'], 'msg': 'limit query parameter must be greater then zero', 'type': 'type_error.integer'}]}}",422,True,0.001177
6,post,/potato,/potato,"{'thickness': 0.0, 'mass': 0.0, 'color': '0', 'type': '0'}",<Response [422]>,"{'detail': [{'loc': ['body', 0], 'msg': 'Expecting value: line 1 column 1 (char 0)', 'type': 'value_error.jsondecode', 'ctx': {'msg': 'Expecting value', 'doc': 'thickness=0.0&mass=0.0&color=0&type=0', 'pos': 0, 'lineno': 1, 'colno': 1}}]}",422,True,0.001118
7,get,/potato,/potato?skip=0&limit=0,{},<Response [422]>,"{'detail': {'detail': [{'loc': ['query', 'limit'], 'msg': 'limit query parameter must be greater then zero', 'type': 'type_error.integer'}]}}",422,True,0.001113
8,delete,/potato,/potato,{},<Response [200]>,[],200,True,0.001094
9,get,/potato,/potato?skip=0&limit=0,{},<Response [422]>,"{'detail': {'detail': [{'loc': ['query', 'limit'], 'msg': 'limit query parameter must be greater then zero', 'type': 'type_error.integer'}]}}",422,True,0.001268
10,get,/potato,/potato?skip=0&limit=0,{},<Response [422]>,"{'detail': {'detail': [{'loc': ['query', 'limit'], 'msg': 'limit query parameter must be greater then zero', 'type': 'type_error.integer'}]}}",422,True,0.00134
11,post,/potato,/potato,"{'thickness': 2.2250738585072014e-308, 'mass': 0.0, 'color': '0', 'type': '0'}",<Response [422]>,"{'detail': [{'loc': ['body', 0], 'msg': 'Expecting value: line 1 column 1 (char 0)', 'type': 'value_error.jsondecode', 'ctx': {'msg': 'Expecting value', 'doc': 'thickness=2.2250738585072014e-308&mass=0.0&color=0&type=0', 'pos': 0, 'lineno': 1, 'colno': 1}}]}",422,True,0.00114
12,get,/potato,/potato?skip=0&limit=0,{},<Response [422]>,"{'detail': {'detail': [{'loc': ['query', 'limit'], 'msg': 'limit query parameter must be greater then zero', 'type': 'type_error.integer'}]}}",422,True,0.00113
13,delete,/potato,/potato,{},<Response [200]>,[],200,True,0.001178
14,get,/potato,/potato?skip=0&limit=0,{},<Response [422]>,"{'detail': {'detail': [{'loc': ['query', 'limit'], 'msg': 'limit query parameter must be greater then zero', 'type': 'type_error.integer'}]}}",422,True,0.001122
15,get,/potato,/potato?skip=1349&limit=1656,{},<Response [200]>,[],200,True,0.001318
16,post,/potato,/potato,"{'thickness': 0.0, 'mass': 1.1, 'color': '0', 'type': '0'}",<Response [422]>,"{'detail': [{'loc': ['body', 0], 'msg': 'Expecting value: line 1 column 1 (char 0)', 'type': 'value_error.jsondecode', 'ctx': {'msg': 'Expecting value', 'doc': 'thickness=0.0&mass=1.1&color=0&type=0', 'pos': 0, 'lineno': 1, 'colno': 1}}]}",422,True,0.001402
17,get,/potato,/potato?skip=1349&limit=1656,{},<Response [200]>,[],200,True,0.00139
18,delete,/potato,/potato,{},<Response [200]>,[],200,True,0.001345
19,get,/potato,/potato?skip=1349&limit=1656,{},<Response [200]>,[],200,True,0.001264
20,get,/potato,/potato?skip=0&limit=0,{},<Response [422]>,"{'detail': {'detail': [{'loc': ['query', 'limit'], 'msg': 'limit query parameter must be greater then zero', 'type': 'type_error.integer'}]}}",422,True,0.00114
21,post,/potato,/potato,"{'thickness': -6.320217782495156e+16, 'mass': 0.0, 'color': '0', 'type': '0'}",<Response [422]>,"{'detail': [{'loc': ['body', 0], 'msg': 'Expecting value: line 1 column 1 (char 0)', 'type': 'value_error.jsondecode', 'ctx': {'msg': 'Expecting value', 'doc': 'thickness=-6.320217782495156e%2B16&mass=0.0&color=0&type=0', 'pos': 0, 'lineno': 1, 'colno': 1}}]}",422,True,0.001063
22,get,/potato,/potato?skip=0&limit=0,{},<Response [422]>,"{'detail': {'detail': [{'loc': ['query', 'limit'], 'msg': 'limit query parameter must be greater then zero', 'type': 'type_error.integer'}]}}",422,True,0.001239
23,delete,/potato,/potato,{},<Response [200]>,[],200,True,0.001214
24,get,/potato,/potato?skip=0&limit=0,{},<Response [422]>,"{'detail': {'detail': [{'loc': ['query', 'limit'], 'msg': 'limit query parameter must be greater then zero', 'type': 'type_error.integer'}]}}",422,True,0.001127
25,get,/potato,/potato?skip=-44341&limit=0,{},<Response [422]>,"{'detail': {'detail': [{'loc': ['query', 'skip'], 'msg': 'skip query parameter must be greater or equal to zero', 'type': 'type_error.integer'}]}}",422,True,0.00097
26,post,/potato,/potato,"{'thickness': 0.0, 'mass': -1.5, 'color': '0', 'type': '0'}",<Response [422]>,"{'detail': [{'loc': ['body', 0], 'msg': 'Expecting value: line 1 column 1 (char 0)', 'type': 'value_error.jsondecode', 'ctx': {'msg': 'Expecting value', 'doc': 'thickness=0.0&mass=-1.5&color=0&type=0', 'pos': 0, 'lineno': 1, 'colno': 1}}]}",422,True,0.001057
27,get,/potato,/potato?skip=-44341&limit=0,{},<Response [422]>,"{'detail': {'detail': [{'loc': ['query', 'skip'], 'msg': 'skip query parameter must be greater or equal to zero', 'type': 'type_error.integer'}]}}",422,True,0.001238
28,delete,/potato,/potato,{},<Response [200]>,[],200,True,0.0012
29,get,/potato,/potato?skip=-44341&limit=0,{},<Response [422]>,"{'detail': {'detail': [{'loc': ['query', 'skip'], 'msg': 'skip query parameter must be greater or equal to zero', 'type': 'type_error.integer'}]}}",422,True,0.001333
30,get,/potato,/potato?skip=0&limit=55870,{},<Response [200]>,[],200,True,0.001357
31,post,/potato,/potato,"{'thickness': -4.0442360689822376e+16, 'mass': 0.0, 'color': 'Q', 'type': '0'}",<Response [422]>,"{'detail': [{'loc': ['body', 0], 'msg': 'Expecting value: line 1 column 1 (char 0)', 'type': 'value_error.jsondecode', 'ctx': {'msg': 'Expecting value', 'doc': 'thickness=-4.0442360689822376e%2B16&mass=0.0&color=Q&type=0', 'pos': 0, 'lineno': 1, 'colno': 1}}]}",422,True,0.001121
32,get,/potato,/potato?skip=0&limit=55870,{},<Response [200]>,[],200,True,0.001285
33,delete,/potato,/potato,{},<Response [200]>,[],200,True,0.001183
34,get,/potato,/potato?skip=0&limit=55870,{},<Response [200]>,[],200,True,0.001359
35,get,/potato,/potato?skip=3538&limit=0,{},<Response [422]>,"{'detail': {'detail': [{'loc': ['query', 'limit'], 'msg': 'limit query parameter must be greater then zero', 'type': 'type_error.integer'}]}}",422,True,0.001253
36,post,/potato,/potato,"{'thickness': 0.0, 'mass': 0.0, 'color': '0', 'type': '0'}",<Response [422]>,"{'detail': [{'loc': ['body', 0], 'msg': 'Expecting value: line 1 column 1 (char 0)', 'type': 'value_error.jsondecode', 'ctx': {'msg': 'Expecting value', 'doc': 'thickness=0.0&mass=0.0&color=0&type=0', 'pos': 0, 'lineno': 1, 'colno': 1}}]}",422,True,0.001064
37,get,/potato,/potato?skip=3538&limit=0,{},<Response [422]>,"{'detail': {'detail': [{'loc': ['query', 'limit'], 'msg': 'limit query parameter must be greater then zero', 'type': 'type_error.integer'}]}}",422,True,0.001123
38,delete,/potato,/potato,{},<Response [200]>,[],200,True,0.001405
